Date,Open,High,Low,Close,Adj Close,Volume
2023-10-13,1.000000,1.000000,0.710000,0.886000,0.886000,47100
2023-10-16,0.910000,1.000000,0.819000,0.890000,0.890000,22900
2023-10-17,0.920000,0.920000,0.763000,0.850000,0.850000,22100
2023-10-18,0.890000,0.930000,0.840000,0.840000,0.840000,5900
2023-10-19,0.840000,0.880000,0.790000,0.879000,0.879000,6800
2023-10-20,0.820000,0.850000,0.801000,0.850000,0.850000,5600
2023-10-23,0.850000,0.930000,0.840000,0.930000,0.930000,18100
2023-10-24,0.940000,1.000000,0.900000,0.990000,0.990000,28700
2023-10-25,0.980000,0.980000,0.840000,0.950000,0.950000,14500
2023-10-26,0.940000,1.100000,0.870000,1.000000,1.000000,11900
2023-10-27,1.000000,1.000000,0.920000,1.000000,1.000000,5600
2023-10-30,1.000000,1.000000,0.910000,0.980000,0.980000,15500
2023-10-31,0.980000,0.998000,0.900000,0.950000,0.950000,5000
2023-11-01,0.980000,1.000000,0.900000,0.955000,0.955000,10200
2023-11-02,1.070000,1.070000,0.930000,1.030000,1.030000,32100
2023-11-03,1.020000,1.050000,1.000000,1.015000,1.015000,14800
2023-11-06,1.050000,1.070000,0.990000,0.990000,0.990000,12300
2023-11-07,1.040000,1.040000,0.975000,1.030000,1.030000,14000
2023-11-08,1.000000,1.040000,0.950000,0.950000,0.950000,6500
2023-11-09,0.980000,1.016000,0.950000,0.950000,0.950000,5700
2023-11-10,0.950000,1.010000,0.950000,0.950000,0.950000,2800
2023-11-13,1.010000,1.010000,0.840000,0.900000,0.900000,28000
2023-11-14,0.999000,1.000000,0.926000,0.930000,0.930000,10500
2023-11-15,0.941000,0.941000,0.920000,0.920000,0.920000,6500
2023-11-16,0.890000,0.923000,0.890000,0.900000,0.900000,3500
2023-11-17,0.916000,1.000000,0.850000,0.890000,0.890000,36800
2023-11-20,0.926000,0.926000,0.891000,0.900000,0.900000,23700
2023-11-21,0.943000,0.943000,0.900000,0.910000,0.910000,2300
2023-11-22,0.915000,0.915000,0.901000,0.901000,0.901000,2100
2023-11-24,0.900000,1.000000,0.900000,0.990000,0.990000,3500
2023-11-27,0.989000,1.000000,0.900000,0.930000,0.930000,29200
2023-11-28,0.940000,1.000000,0.931000,0.940000,0.940000,2700
2023-11-29,0.900000,0.950000,0.900000,0.920000,0.920000,7900
2023-11-30,0.969000,0.969000,0.920000,0.964000,0.964000,4800
2023-12-01,0.930000,0.950000,0.925000,0.925000,0.925000,6400
2023-12-04,0.930000,0.980000,0.905000,0.910000,0.910000,26200
2023-12-05,0.900000,0.960000,0.890000,0.934000,0.934000,19200
2023-12-06,0.930000,0.950000,0.930000,0.930000,0.930000,2100
2023-12-07,0.900000,0.930000,0.900000,0.930000,0.930000,5500
2023-12-08,0.930000,0.955000,0.900000,0.940000,0.940000,4300
2023-12-11,0.900000,0.935000,0.900000,0.910000,0.910000,6600
2023-12-12,0.930000,0.935000,0.890000,0.890000,0.890000,5600
2023-12-13,0.890000,0.930000,0.890000,0.930000,0.930000,1700
2023-12-14,0.930000,0.950000,0.894000,0.924000,0.924000,14600
2023-12-15,0.900000,0.999000,0.880000,0.949000,0.949000,15700
2023-12-18,0.920000,0.956000,0.910000,0.910000,0.910000,2500
2023-12-19,0.910000,0.960000,0.910000,0.960000,0.960000,4500
2023-12-20,0.959000,0.968000,0.880000,0.920000,0.920000,16100
2023-12-21,0.914000,1.001000,0.890000,1.001000,1.001000,41600
2023-12-22,1.000000,1.000000,0.920000,0.959000,0.959000,8700
2023-12-26,0.990000,1.000000,0.950000,0.970000,0.970000,11900
2023-12-27,1.030000,1.380000,1.000000,1.320000,1.320000,312400
2023-12-28,1.330000,1.340000,1.210000,1.287000,1.287000,46400
2023-12-29,1.390000,1.760000,1.310000,1.674000,1.674000,138200
2024-01-02,1.600000,1.630000,1.438000,1.600000,1.600000,52300
